process,strip,mean width (nm),sd
0_otsuOffset,106,4.93,0.42
0_otsuOffset,134,4.25,0.39
0_otsuOffset,135,4.34,0.66
0_otsuOffset,161,4.19,0.75
0_otsuOffset,176,4.8,0.71
0_otsuOffset,187,5.09,0.84
0_otsuOffset,229,4.87,0.92
0_otsuOffset,232,5.64,0.84
0_otsuOffset,overall,4.76,0.69
1_otsuOffset,106,4.76,0.42
1_otsuOffset,134,4.06,0.56
1_otsuOffset,135,4.3,0.62
1_otsuOffset,161,4.02,0.68
1_otsuOffset,176,4.7,0.68
1_otsuOffset,187,5.02,0.78
1_otsuOffset,229,4.72,0.95
1_otsuOffset,232,5.54,0.71
1_otsuOffset,overall,4.64,0.67
2_otsuOffset,106,4.93,0.42
2_otsuOffset,134,4.25,0.39
2_otsuOffset,135,4.34,0.66
2_otsuOffset,161,4.19,0.75
2_otsuOffset,176,4.8,0.71
2_otsuOffset,187,5.09,0.84
2_otsuOffset,229,4.87,0.92
2_otsuOffset,232,5.64,0.84
2_otsuOffset,overall,4.76,0.69
3_otsuOffset,106,4.76,0.42
3_otsuOffset,134,4.06,0.56
3_otsuOffset,135,4.3,0.62
3_otsuOffset,161,4.02,0.68
3_otsuOffset,176,4.7,0.68
3_otsuOffset,187,5.02,0.78
3_otsuOffset,229,4.72,0.95
3_otsuOffset,232,5.54,0.71
3_otsuOffset,overall,4.64,0.67
4_otsuOffset,106,4.93,0.42
4_otsuOffset,134,4.25,0.39
4_otsuOffset,135,4.34,0.66
4_otsuOffset,161,4.19,0.75
4_otsuOffset,176,4.8,0.71
4_otsuOffset,187,5.09,0.84
4_otsuOffset,229,4.87,0.92
4_otsuOffset,232,5.64,0.84
4_otsuOffset,overall,4.76,0.69
5_otsuOffset,106,4.76,0.42
5_otsuOffset,134,4.06,0.56
5_otsuOffset,135,4.3,0.62
5_otsuOffset,161,4.02,0.68
5_otsuOffset,176,4.7,0.68
5_otsuOffset,187,5.02,0.78
5_otsuOffset,229,4.72,0.95
5_otsuOffset,232,5.54,0.71
5_otsuOffset,overall,4.64,0.67
