strip,grana_height,num_lumen,repeat_distance,px_per_nm,nm_per_px,scale,scale_pixels,lumen_width,type,index
101,72.13333333333333,5,12.02,0.88,1.1363636363636365,500,440,5.00724637681159,lumen,0
101,72.13333333333333,5,14.08,0.88,1.1363636363636365,500,440,5.008384146341463,lumen,1
101,72.13333333333333,5,13.84,0.88,1.1363636363636365,500,440,5.060606060606055,lumen,2
101,72.13333333333333,5,15.3,0.88,1.1363636363636365,500,440,6.184139784946225,lumen,3
101,72.13333333333333,5,12.15,0.88,1.1363636363636365,500,440,5.018181818181816,lumen,4
106,122.55187969924812,7,14.66,1.095,0.91324200913242,200,219,6.446428571428573,lumen,0
106,122.55187969924812,7,17.81,1.095,0.91324200913242,200,219,7.230158730158728,lumen,1
106,122.55187969924812,7,18.2,1.095,0.91324200913242,200,219,6.8525345622119715,lumen,2
106,122.55187969924812,7,17.0,1.095,0.91324200913242,200,219,6.089743589743591,lumen,3
106,122.55187969924812,7,16.89,1.095,0.91324200913242,200,219,6.077272727272728,lumen,4
106,122.55187969924812,7,17.03,1.095,0.91324200913242,200,219,6.446524064171129,lumen,5
106,122.55187969924812,7,14.35,1.095,0.91324200913242,200,219,5.575187969924798,lumen,6
134,69.8362480127186,4,14.92,1.095,0.91324200913242,200,219,6.554545454545455,lumen,0
134,69.8362480127186,4,17.33,1.095,0.91324200913242,200,219,6.709090909090904,lumen,1
134,69.8362480127186,4,16.63,1.095,0.91324200913242,200,219,6.080808080808076,lumen,2
134,69.8362480127186,4,14.56,1.095,0.91324200913242,200,219,5.6880341880341945,lumen,3
135,71.76190476190476,4,15.89,1.095,0.91324200913242,200,219,6.715686274509807,lumen,0
135,71.76190476190476,4,18.32,1.095,0.91324200913242,200,219,6.800000000000004,lumen,1
135,71.76190476190476,4,16.15,1.095,0.91324200913242,200,219,5.148148148148138,lumen,2
135,71.76190476190476,4,14.31,1.095,0.91324200913242,200,219,6.070707070707073,lumen,3
161,107.23313953488373,8,11.48,0.88,1.1363636363636365,500,440,4.9739470256187595,lumen,0
161,107.23313953488373,8,14.26,0.88,1.1363636363636365,500,440,5.5075187969924855,lumen,1
161,107.23313953488373,8,13.8,0.88,1.1363636363636365,500,440,4.916666666666664,lumen,2
161,107.23313953488373,8,13.74,0.88,1.1363636363636365,500,440,4.8133208255159445,lumen,3
161,107.23313953488373,8,13.21,0.88,1.1363636363636365,500,440,4.537878787878782,lumen,4
161,107.23313953488373,8,12.11,0.88,1.1363636363636365,500,440,3.419207317073173,lumen,5
161,107.23313953488373,8,13.45,0.88,1.1363636363636365,500,440,5.0314685314685335,lumen,6
161,107.23313953488373,8,10.9,0.88,1.1363636363636365,500,440,4.705555555555563,lumen,7
176,87.4090909090909,6,11.78,0.88,1.1363636363636365,500,440,4.51923076923077,lumen,0
176,87.4090909090909,6,14.42,0.88,1.1363636363636365,500,440,5.055555555555557,lumen,1
176,87.4090909090909,6,13.71,0.88,1.1363636363636365,500,440,5.006993006993007,lumen,2
176,87.4090909090909,6,14.42,0.88,1.1363636363636365,500,440,5.5909090909090935,lumen,3
176,87.4090909090909,6,15.38,0.88,1.1363636363636365,500,440,6.208333333333329,lumen,4
176,87.4090909090909,6,12.75,0.88,1.1363636363636365,500,440,5.676151761517616,lumen,5
187,79.04040404040404,5,13.08,0.88,1.1363636363636365,500,440,5.334688346883468,lumen,0
187,79.04040404040404,5,16.62,0.88,1.1363636363636365,500,440,6.583333333333336,lumen,1
187,79.04040404040404,5,15.41,0.88,1.1363636363636365,500,440,5.421052631578945,lumen,2
187,79.04040404040404,5,16.14,0.88,1.1363636363636365,500,440,6.4290909090909025,lumen,3
187,79.04040404040404,5,12.75,0.88,1.1363636363636365,500,440,5.681818181818187,lumen,4
229,121.96480938416421,7,14.89,1.095,0.91324200913242,200,219,6.601626016260159,lumen,0
229,121.96480938416421,7,18.68,1.095,0.91324200913242,200,219,8.071428571428577,lumen,1
229,121.96480938416421,7,17.17,1.095,0.91324200913242,200,219,6.562091503267979,lumen,2
229,121.96480938416421,7,17.31,1.095,0.91324200913242,200,219,6.959183673469383,lumen,3
229,121.96480938416421,7,16.51,1.095,0.91324200913242,200,219,5.894285714285715,lumen,4
229,121.96480938416421,7,17.44,1.095,0.91324200913242,200,219,6.817477096546867,lumen,5
229,121.96480938416421,7,13.65,1.095,0.91324200913242,200,219,5.264705882352928,lumen,6
232,165.23076923076923,11,12.65,0.88,1.1363636363636365,500,440,6.258928571428569,lumen,0
232,165.23076923076923,11,15.3,0.88,1.1363636363636365,500,440,6.883928571428569,lumen,1
232,165.23076923076923,11,14.5,0.88,1.1363636363636365,500,440,5.993006993006993,lumen,2
232,165.23076923076923,11,15.35,0.88,1.1363636363636365,500,440,6.611904761904768,lumen,3
232,165.23076923076923,11,15.32,0.88,1.1363636363636365,500,440,6.128378378378372,lumen,4
232,165.23076923076923,11,14.19,0.88,1.1363636363636365,500,440,5.356481481481481,lumen,5
232,165.23076923076923,11,15.12,0.88,1.1363636363636365,500,440,6.230769230769226,lumen,6
232,165.23076923076923,11,14.56,0.88,1.1363636363636365,500,440,5.551587301587318,lumen,7
232,165.23076923076923,11,15.19,0.88,1.1363636363636365,500,440,6.770833333333343,lumen,8
232,165.23076923076923,11,15.37,0.88,1.1363636363636365,500,440,6.901098901098891,lumen,9
232,165.23076923076923,11,12.09,0.88,1.1363636363636365,500,440,4.78787878787881,lumen,10
