type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,1,47,29325,5.39,44.55,49.94,47.24,
peak,2,60,24735,5.56,56.59,62.15,59.37,12.129999999999995
peak,3,72,21420,5.51,69.11,74.62,71.87,12.500000000000007
peak,4,84,22695,5.72,82.12,87.83,84.97,13.099999999999994
peak,5,95,20655,5.4,93.01,98.42,95.71,10.739999999999995
peak,7,106,16830,5.11,104.27,109.38,106.82,11.11
peak,9,120,18105,7.12,116.17,123.29,119.73,12.91000000000001
peak,10,132,28050,4.6,129.32,133.92,131.62,11.89
peak,11,144,22950,7.17,139.96,147.12,143.54,11.919999999999987
peak,12,157,31110,4.54,155.0,159.54,157.27,13.730000000000018
trough,0,30,15810,7.57,25.76,33.33,29.55,
trough,1,41,31110,6.74,37.93,44.67,41.3,11.749999999999996
trough,2,53,31110,7.26,49.79,57.05,53.42,12.120000000000005
trough,3,65,31110,8.9,61.84,70.73,66.29,12.870000000000005
trough,4,78,31110,9.71,73.44,83.15,78.3,12.009999999999991
trough,5,90,31110,7.33,86.22,93.55,89.89,11.590000000000003
trough,7,102,31110,8.33,97.22,105.55,101.38,11.489999999999995
trough,8,113,31110,11.4,106.29,117.69,111.99,10.61
trough,10,127,29580,5.52,123.29,128.81,126.05,14.060000000000002
trough,11,138,31110,7.64,133.76,141.4,137.58,11.530000000000015
trough,12,150,31110,8.67,145.83,154.5,150.17,12.589999999999975
